Par,Pearson,Spearman,dCor,MI,VolCorr,DTW,Coint_p,Granger_p
AMZN-META,0.608,0.603,0.585,0.256,0.712,1.55,0.304,0.0009
AMZN-MSFT,0.545,0.562,0.552,0.224,0.537,3.36,0.6078,0.0319
META-MSFT,0.496,0.543,0.536,0.222,0.552,2.63,0.2763,0.1211
AMZN-GOOGL,0.546,0.575,0.553,0.206,0.533,1.84,0.1062,0.2043
AMZN-NVDA,0.468,0.456,0.444,0.156,0.389,1.45,0.027,0.2421
META-NVDA,0.45,0.464,0.451,0.155,0.29,2.26,0.4171,0.0348
MSFT-NVDA,0.481,0.499,0.479,0.147,0.386,4.6,0.8308,0.565
GOOGL-META,0.399,0.48,0.457,0.142,0.508,2.44,0.9898,0.034
GOOGL-MSFT,0.388,0.434,0.425,0.126,0.417,4.39,0.9868,0.2747
GOOGL-TSLA,0.389,0.394,0.377,0.121,0.386,2.08,0.8563,0.5966
AMZN-TSLA,0.415,0.394,0.383,0.12,0.477,1.51,0.0078,0.1181
AAPL-AMZN,0.45,0.364,0.37,0.093,0.642,1.15,0.2836,0.0019
NVDA-TSLA,0.381,0.353,0.354,0.081,0.45,2.14,0.071,0.0223
AAPL-TSLA,0.423,0.372,0.363,0.075,0.475,1.78,0.5396,0.081
META-TSLA,0.334,0.344,0.336,0.075,0.336,1.49,0.0561,0.1067
AAPL-META,0.356,0.285,0.293,0.067,0.493,2.47,0.9305,0.0243
MSFT-TSLA,0.342,0.335,0.327,0.064,0.184,4.01,0.6125,0.0923
GOOGL-NVDA,0.377,0.373,0.363,0.059,0.378,0.98,0.3834,0.2327
AAPL-MSFT,0.377,0.317,0.324,0.055,0.576,4.13,0.9479,0.0024
AAPL-GOOGL,0.409,0.389,0.376,0.037,0.437,1.65,0.2215,0.0295
AAPL-NVDA,0.328,0.253,0.259,0.016,0.514,0.91,0.1363,0.0715
